Year, hPa, AbDailyMax, MeanDailyMax, Mean, MeanDailyMin, AbDailyMin, TotalRainFall
1884, NaN, 33.9, 24.6, NaN, 19.7, 6.0, 1918.0
1885, 1013.3, 31.8, 23.7, 21.5, 19.8, 7.2, 2769.1
1886, 1013.4, 32.1, 23.5, 21.4, 19.7, 5.4, 1756.9
1887, 1012.7, 32.6, 24.0, 21.8, 19.9, 6.0, 1685.0
1888, 1012.2, 33.8, 24.6, 22.5, 20.6, 4.8, 2656.2
1889, 1012.6, 33.6, 24.8, 22.3, 20.3, 4.6, 3041.8
1890, 1012.2, 34.3, 25.4, 22.2, 19.9, 6.7, 1802.3
1891, 1012.4, 33.8, 24.8, 22.1, 20.0, 7.1, 2974.5
1892, 1012.5, 34.4, 24.5, 21.7, 19.5, 6.8, 2309.7
1893, 1013.1, 33.5, 24.0, 21.4, 19.4, 0.0, 2539.1
1894, 1012.6, 33.8, 24.6, 22.1, 20.1, 5.2, 2647.6
1895, 1012.7, 34.4, 24.7, 22.0, 20.0, 6.4, 1164.2
1896, 1012.7, 34.4, 24.7, 22.2, 20.2, 4.8, 1848.6
1897, 1012.6, 33.2, 24.6, 22.1, 20.0, 5.0, 2540.6
1898, 1011.5, 33.1, 25.1, 22.4, 20.1, 7.8, 1447.7
1899, 1012.7, 33.8, 24.9, 22.2, 20.1, 6.4, 1847.2
1900, 1012.9, 36.1, 24.5, 22.0, 20.0, 3.1, 1873.5
1901, 1012.9, 33.7, 25.0, 22.3, 20.3, 3.6, 1418.8
1902, 1013.0, 33.4, 25.7, 23.0, 20.9, 4.7, 2477.2
1903, 1013.3, 33.6, 24.6, 22.0, 19.9, 5.5, 2378.5
1904, 1012.7, 32.8, 24.7, 22.0, 19.9, 7.1, 2043.3
1905, 1012.7, 32.9, 24.5, 22.0, 20.0, 6.0, 1801.9
1906, 1012.1, 34.3, 24.7, 22.1, 20.0, 8.2, 1977.3
1907, 1012.3, 33.1, 24.8, 22.3, 20.2, 7.2, 2377.7
1908, 1012.5, 33.7, 24.6, 22.1, 20.1, 6.5, 2335.9
1909, 1012.2, 32.7, 25.0, 22.6, 20.5, 9.3, 1926.2
1910, 1012.3, 32.9, 24.8, 22.2, 20.1, 6.8, 1782.3
1911, 1012.1, 33.9, 24.7, 22.3, 20.4, 8.4, 2302.1
1912, 1012.8, 33.6, 24.8, 22.2, 20.1, 7.4, 1625.2
1913, 1012.8, 33.3, 24.7, 22.2, 20.1, 6.7, 2129.1
1914, 1012.6, 34.4, 25.5, 23.0, 21.0, 8.6, 2545.8
1915, 1012.3, 34.1, 25.5, 23.0, 20.9, 5.4, 1930.5
1916, 1012.2, 33.6, 24.7, 22.1, 19.9, 4.1, 2027.1
1917, 1012.7, 32.7, 24.2, 21.7, 19.7, 3.8, 2068.5
1918, 1012.7, 32.9, 24.3, 21.8, 20.0, 5.6, 2580.3
1919, 1012.5, 33.4, 24.7, 22.3, 20.4, 4.1, 1932.5
1920, 1011.6, 33.9, 24.6, 22.2, 20.3, 7.3, 2739.6
1921, 1012.7, 33.4, 25.0, 22.3, 20.3, 6.7, 2473.2
1922, 1011.8, 33.9, 25.0, 22.4, 20.4, 6.5, 1763.6
1923, 1012.1, 33.8, 25.0, 22.5, 20.6, 7.6, 2711.7
1924, 1012.1, 34.0, 24.9, 22.4, 20.4, 8.6, 2505.9
1925, 1012.6, 33.8, 24.6, 21.9, 19.9, 4.3, 2228.2
1926, 1013.1, 33.6, 24.5, 22.0, 20.1, 6.2, 2560.8
1927, 1012.1, 33.9, 24.4, 21.9, 20.0, 7.7, 2739.7
1928, 1012.1, 33.7, 25.0, 22.5, 20.5, 7.2, 1808.6
1929, 1012.6, 33.4, 25.1, 22.6, 20.6, 6.9, 1776.5
1930, 1012.8, 33.8, 25.0, 22.4, 20.5, 5.1, 2442.3
1931, 1012.1, 34.4, 25.0, 22.5, 20.5, 4.6, 2043.5
1932, 1013.0, 32.7, 24.9, 22.3, 20.4, 6.3, 2325.9
1933, 1012.7, 33.9, 25.6, 22.5, 20.5, 5.2, 1585.2
1934, 1013.0, 33.9, 24.7, 21.9, 19.9, 6.0, 2482.9
1935, 1011.9, 33.7, 25.1, 22.4, 20.5, 6.1, 1815.1
1936, 1012.7, 33.6, 25.1, 22.1, 20.0, 6.2, 1773.7
1937, 1011.8, 33.9, 25.6, 23.0, 21.0, 7.7, 2096.6
1938, 1012.4, 34.4, 25.5, 22.7, 20.7, 8.1, 1405.8
1939, 1012.2, 34.4, 25.3, 22.5, 20.4, 9.9, 2202.7
1947, 1013.3, 34.9, 25.1, 22.0, 19.7, 5.4, 2591.5
1948, 1012.9, 33.4, 25.8, 22.8, 20.5, 3.8, 2482.8
1949, 1012.8, 33.5, 25.6, 22.7, 20.6, 5.9, 2101.2
1950, 1011.9, 33.8, 25.3, 22.5, 20.2, 5.8, 2075.5
1951, 1012.7, 33.6, 24.9, 22.1, 19.9, 4.9, 2363.9
1952, 1012.5, 33.3, 25.7, 22.8, 20.4, 4.3, 2544.3
1953, 1012.9, 34.0, 25.3, 22.5, 20.2, 8.5, 2360.2
1954, 1012.4, 34.9, 25.6, 22.6, 20.1, 6.2, 1367.0
1955, 1013.0, 33.5, 25.7, 22.6, 20.0, 3.1, 2350.2
1956, 1012.7, 34.3, 25.6, 22.4, 19.9, 3.9, 1649.3
1957, 1012.9, 34.2, 25.1, 22.2, 20.0, 2.4, 2950.3
1958, 1013.4, 34.9, 25.9, 22.8, 20.5, 7.3, 2033.6
1959, 1013.0, 33.4, 25.9, 23.0, 20.8, 5.8, 2797.4
1960, 1012.8, 35.4, 26.0, 23.1, 20.9, 7.5, 2237.0
1961,1012.6,34.2,25.6,22.9,20.8,7.3,2232.4
1962,1013.2,35.5,25.8,22.7,20.4,6.0,1741.0
1963,1013.4,35.6,26.5,23.3,20.9,7.1,901.1
1964,1012.7,33.9,25.7,22.9,20.5,7.0,2432.1
1965,1012.8,33.4,25.9,23.1,20.9,7.3,2352.6
1966,1012.2,34.7,26.8,23.8,21.4,7.5,2398.2
1967,1012.8,34.4,25.9,22.9,20.4,4.6,1570.6
1968,1012.7,35.7,25.8,22.9,20.7,5.7,2288.2
1969,1012.8,34.7,25.7,22.7,20.5,4.0,1895.5
1970,1012.5,33.6,25.5,22.8,20.5,7.6,2316.3
1971,1013.1,33.7,25.9,22.7,20.5,5.5,1903.8
1972,1012.4,34.7,25.9,22.8,20.7,3.8,2807.3
1973,1012.6,33.1,26.3,23.3,21.2,7.0,3100.4
1974,1012.1,34.3,25.9,22.8,20.5,4.2,2322.9
1975,1012.6,33.9,25.6,22.8,20.7,4.3,3028.7
1976,1013.1,35.2,25.4,22.5,20.4,5.7,2197.2
1977,1013.5,34.9,26.4,23.3,21.1,6.2,1680.0
1978,1012.7,34.2,25.6,22.8,20.7,6.9,2593.0
1979,1013.0,33.8,25.9,23.1,21.0,6.1,2614.7
1980,1013.4,35.0,25.9,23.0,20.9,5.5,1710.6
1981,1013.1,33.3,25.5,23.1,21.2,9.5,1659.5
1982,1013.0,34.8,25.2,22.9,21.0,8.9,3247.5
1983,1013.7,33.9,25.4,23.0,21.1,6.1,2893.8
1984,1012.5,34.4,24.9,22.5,20.7,7.0,2017.0
1985,1012.3,33.0,25.0,22.6,20.8,8.8,2191.4
1986,1013.1,34.8,25.3,22.8,20.8,4.8,2338.3
1987,1013.9,34.2,25.7,23.4,21.6,7.6,2319.3
1988,1013.1,33.8,25.1,22.8,20.9,9.5,1685.0
1989,1013.1,34.3,25.3,23.0,21.1,7.6,1944.6
1990,1012.9,36.1,25.4,23.1,21.2,7.0,2046.9
1991,1013.3,34.5,25.9,23.5,21.6,4.6,1639.1
1992,1013.3,35.0,25.2,22.8,20.9,8.4,2678.8
1993,1013.6,33.5,25.5,23.1,21.2,5.4,2343.9
1994,1012.7,34.1,25.9,23.6,21.7,7.9,2725.6
1995,1013.7,34.2,25.2,22.8,20.9,9.2,2754.4
1996,1013.0,34.3,25.6,23.3,21.3,5.8,2249.1
1997,1013.3,33.2,25.5,23.3,21.5,10.2,3343.0
1998,1012.8,34.4,26.3,24.0,22.1,8.9,2564.6
1999,1011.9,35.1,26.2,23.8,21.8,5.8,2129.1
2000,1011.9,34.2,25.5,23.3,21.5,7.2,2752.3
2001,1012.2,34.0,25.8,23.6,21.8,8.9,3091.8
2002,1012.9,33.6,26.0,23.9,22.1,6.8,2490.0
2003,1013.2,33.7,25.8,23.6,21.9,8.8,1941.9
2004,1013.1,34.6,25.6,23.4,21.7,7.7,1738.6
2005,1013.0,35.4,25.4,23.3,21.4,6.4,3214.5
2006,1012.7,34.0,25.8,23.5,21.7,8.0,2627.8
2007,1012.8,35.3,26.4,23.7,21.7,10.6,1706.9
2008,1012.8,34.6,25.8,23.1,21.1,7.9,3066.2
2009,1012.3,34.9,26.3,23.5,21.6,9.4,2182.3
2010,1013.0,34.1,25.8,23.2,21.2,5.8,2371.7
2011,1012.8,35.0,25.8,23.0,21.1,7.2,1487.2
2012,1011.6,34.5,25.8,23.4,21.6,7.1,1924.7
2013,1012.7,34.9,25.9,23.3,21.4,9.2,2847.3
2014,1013.1,34.6,26.0,23.5,21.5,7.3,2638.3
2015,1013.5,36.3,26.6,24.2,22.4,10.3,1874.5
2016,1012.8,35.6,26.1,23.6,21.7,3.1,3026.8
2017,1013.3,36.6,26.4,23.9,22.0,9.8,2572.1
2018,1012.6,35.4,26.6,23.9,21.9,6.8,2162.9